image_ID,pitch,yaw,condition
frame_BAB141.jpg,-0.41132277,0.048832856,BAB
frame_BAB142.jpg,-0.43320334,0.14374222,BAB
frame_BAB143.jpg,0.13559122,0.2901886,BAB
frame_BAB144.jpg,-0.25177974,-0.034104593,BAB
frame_BAB145.jpg,-0.4314306,0.38522926,BAB
frame_BAB146.jpg,-0.22712901,0.050688185,BAB
frame_BAB147.jpg,-0.26763618,-0.045435265,BAB
frame_BAB148.jpg,-0.60342944,0.12261025,BAB
frame_BAB149.jpg,-0.54956925,0.3529599,BAB
frame_BAB150.jpg,-0.36109972,0.25460857,BAB
frame_BAB151.jpg,-0.46995357,0.2820207,BAB
frame_BAB152.jpg,-0.3701498,0.10988787,BAB
frame_BAB153.jpg,-0.37069476,0.015438859,BAB
frame_BAB154.jpg,-0.34655237,0.15919046,BAB
frame_BAB155.jpg,-0.28623554,0.07596408,BAB
frame_BAB156.jpg,-0.2577219,0.16007428,BAB
frame_BAB157.jpg,-0.10080877,0.3793109,BAB
frame_BAB158.jpg,-0.18449987,0.24212818,BAB
frame_BAB159.jpg,-0.13035718,0.23269357,BAB
frame_BAB160.jpg,-0.48440662,0.16010974,BAB
frame_BAB161.jpg,-0.39597562,0.3440308,BAB
frame_BAB162.jpg,-0.42799526,0.3375422,BAB
frame_BAB163.jpg,-0.4090041,0.20213883,BAB
frame_BAB164.jpg,-0.2978273,0.2148066,BAB
frame_BAB165.jpg,-0.30267438,0.21767871,BAB
frame_BAB166.jpg,-0.32272768,0.09340581,BAB
frame_BAB167.jpg,-0.3341816,0.16430299,BAB
frame_BAB168.jpg,-0.22720973,0.011926834,BAB
frame_BAB169.jpg,-0.24129127,-0.01524874,BAB
frame_BAB170.jpg,-0.27877948,-0.06004399,BAB
frame_BAB171.jpg,-0.32811803,0.049889192,BAB
frame_BAB172.jpg,-0.31638193,0.034803532,BAB
frame_BAB173.jpg,-0.34995636,0.108070046,BAB
frame_BAB174.jpg,-0.32704738,0.16870756,BAB
frame_BAB175.jpg,-0.3561356,0.12070737,BAB
frame_BAB176.jpg,-0.20130296,0.46645382,BAB
frame_BAB177.jpg,-0.2191771,0.37170652,BAB
frame_BAB178.jpg,-0.23889886,0.35879877,BAB
frame_BAB179.jpg,-0.26035008,0.41204152,BAB
frame_BAB180.jpg,-0.21319522,0.35234028,BAB
frame_BAB181.jpg,-0.57162154,0.19253446,BAB
frame_BAB182.jpg,-0.5406004,0.13517232,BAB
frame_BAB183.jpg,-0.4196947,0.059678257,BAB
frame_BAB184.jpg,-0.4412696,0.06976141,BAB
